id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
369,upload,native,0.24,6/24/16,155,python,74.96809959,19140,azure,00:00:15
370,upload,multicloud,0.12,6/24/16,155,python,52.66308784,15468,azure,00:00:15
371,upload,multicloud,0.09,6/24/16,155,python,37.89997101,15464,azure,00:00:15
372,upload,native,0.2,6/24/16,155,python,52.77395248,19204,azure,00:00:15
373,upload,multicloud,0.1,6/24/16,155,python,53.09486389,15464,azure,00:00:15
374,upload,native,1.75,6/24/16,155,java,92,59716,azure,00:00:16
375,upload,native,0.24,6/24/16,155,python,79.93793488,19104,azure,00:00:16
376,upload,multicloud,3.67,6/24/16,155,java,859,211884,aws,00:00:16
377,upload,native,1.8,6/24/16,155,java,392,73824,aws,00:00:16
378,upload,multicloud,0.15,6/24/16,155,python,54.62813377,15468,azure,00:00:16
379,upload,native,0.24,6/24/16,155,python,70.34277916,19260,azure,00:00:16
380,upload,multicloud,0.13,6/24/16,155,python,125.9758472,15512,azure,00:00:16
381,upload,multicloud,6.99,6/24/16,155,java,998,105880,azure,00:00:16
382,upload,native,0.25,6/24/16,155,python,58.68196487,19068,azure,00:00:16
383,upload,multicloud,0.14,6/24/16,155,python,79.0810585,15524,azure,00:00:16
384,upload,multicloud,0.11,6/24/16,155,python,52.91604996,15568,azure,00:00:17
385,upload,native,0.24,6/24/16,155,python,66.63584709,19152,azure,00:00:17
386,upload,native,1.71,6/24/16,155,java,59,59280,azure,00:00:17
387,upload,multicloud,0.1,6/24/16,155,python,54.0599823,15456,azure,00:00:17
388,upload,native,1.85,6/24/16,155,java,477,75644,aws,00:00:17
389,upload,native,0.25,6/24/16,155,python,73.59409332,19180,azure,00:00:17
390,upload,multicloud,0.11,6/24/16,155,python,77.18896866,15456,azure,00:00:17
391,upload,multicloud,0.11,6/24/16,155,python,59.22913551,15520,azure,00:00:18
392,upload,native,0.28,6/24/16,155,python,179.8360348,19052,azure,00:00:18
393,upload,multicloud,0.1,6/24/16,155,python,47.13702202,15452,azure,00:00:18
394,upload,multicloud,3.55,6/24/16,155,java,878,214276,aws,00:00:18
395,upload,native,0.22,6/24/16,155,python,66.69592857,19128,azure,00:00:18
396,upload,multicloud,0.15,6/24/16,155,python,45.55797577,15504,azure,00:00:18
397,upload,native,1.86,6/24/16,155,java,461,77740,aws,00:00:18
398,upload,native,0.26,6/24/16,155,python,95.37196159,19052,azure,00:00:18
399,upload,multicloud,0.13,6/24/16,155,python,54.16893959,15472,azure,00:00:19
400,upload,native,1.88,6/24/16,155,java,87,64280,azure,00:00:19
401,upload,native,0.21,6/24/16,155,python,66.69592857,19260,azure,00:00:19
402,upload,multicloud,0.12,6/24/16,155,python,52.48999596,15508,azure,00:00:19
403,upload,native,0.22,6/24/16,155,python,53.74908447,19064,azure,00:00:19
404,upload,multicloud,0.16,6/24/16,155,python,66.31588936,15468,azure,00:00:19
405,upload,native,0.19,6/24/16,155,python,63.93504143,19084,azure,00:00:20
406,upload,multicloud,0.18,6/24/16,155,python,57.53493309,15424,azure,00:00:20
407,upload,native,1.83,6/24/16,155,java,477,77404,aws,00:00:20
408,upload,native,0.21,6/24/16,155,python,73.51016998,19056,azure,00:00:20
409,upload,multicloud,0.14,6/24/16,155,python,58.36296082,15440,azure,00:00:20
410,upload,native,2.05,6/24/16,155,java,82,65444,azure,00:00:20
411,upload,multicloud,3.51,6/24/16,155,java,864,214532,aws,00:00:20
412,upload,native,0.21,6/24/16,155,python,58.32099915,19128,azure,00:00:20
413,upload,multicloud,0.13,6/24/16,155,python,55.10187149,15464,azure,00:00:20
414,upload,multicloud,7.02,6/24/16,155,java,1163,111416,azure,00:00:21
415,upload,multicloud,0.12,6/24/16,155,python,55.33909798,15456,azure,00:00:21
416,upload,native,0.19,6/24/16,155,python,57.69991875,19196,azure,00:00:21
417,upload,native,0.18,6/24/16,155,python,55.22990227,19128,azure,00:00:21
418,upload,multicloud,0.1,6/24/16,155,python,48.5291481,15436,azure,00:00:21
419,upload,native,1.8,6/24/16,155,java,467,72092,aws,00:00:21
420,upload,native,0.18,6/24/16,155,python,63.61103058,19140,azure,00:00:21
421,upload,multicloud,0.1,6/24/16,155,python,84.05017853,15468,azure,00:00:21
422,upload,native,1.82,6/24/16,155,java,80,59216,azure,00:00:21
423,upload,multicloud,0.12,6/24/16,155,python,49.50499535,15564,azure,00:00:22
424,upload,native,0.18,6/24/16,155,python,62.40701675,19148,azure,00:00:22
425,upload,multicloud,0.11,6/24/16,155,python,52.7369976,15452,azure,00:00:22
426,upload,native,0.19,6/24/16,155,python,65.98997116,19108,azure,00:00:22
427,upload,multicloud,0.12,6/24/16,155,python,62.45303154,15464,azure,00:00:22
428,upload,native,0.19,6/24/16,155,python,64.84103203,19200,azure,00:00:22
429,upload,native,1.84,6/24/16,155,java,467,77172,aws,00:00:22
430,upload,native,0.2,6/24/16,155,python,63.95602226,19184,azure,00:00:23
431,upload,multicloud,0.13,6/24/16,155,python,63.70615959,15468,azure,00:00:23
432,upload,native,1.79,6/24/16,155,java,86,59056,azure,00:00:23
433,upload,multicloud,3.67,6/24/16,155,java,1071,214848,aws,00:00:23
434,upload,multicloud,0.13,6/24/16,155,python,52.64520645,15516,azure,00:00:23
435,upload,native,0.27,6/24/16,155,python,75.21986961,19128,azure,00:00:23
436,upload,multicloud,0.12,6/24/16,155,python,82.91816711,15472,azure,00:00:23
